code,name,popluation
US,United States,328239523
AL,Alabama,4903185
AK,Alaska,731545
AZ,Arizona,7278717
AR,Arkansas,3017804
CA,California,39512223
CO,Colorado,5758736
CT,Connecticut,3565287
DE,Delaware,973764
DC,District of Columbia,705749
FL,Florida,21477737
GA,Georgia,10617423
HI,Hawaii,1415872
ID,Idaho,1787065
IL,Illinois,12671821
IN,Indiana,6732219
IA,Iowa,3155070
KS,Kansas,2913314
KY,Kentucky,4467673
LA,Louisiana,4648794
ME,Maine,1344212
MD,Maryland,6045680
MA,Massachusetts,6892503
MI,Michigan,9986857
MN,Minnesota,5639632
MS,Mississippi,2976149
MO,Missouri,6137428
MT,Montana,1068778
NE,Nebraska,1934408
NV,Nevada,3080156
NH,New Hampshire,1359711
NJ,New Jersey,8882190
NM,New Mexico,2096829
NY,New York,19453561
NC,North Carolina,10488084
ND,North Dakota,762062
OH,Ohio,11689100
OK,Oklahoma,3956971
OR,Oregon,4217737
PA,Pennsylvania,12801989
RI,Rhode Island,1059361
SC,South Carolina,5148714
SD,South Dakota,884659
TN,Tennessee,6829174
TX,Texas,28995881
UT,Utah,3205958
VT,Vermont,623989
VA,Virginia,8535519
WA,Washington,7614893
WV,West Virginia,1792147
WI,Wisconsin,5822434
WY,Wyoming,578759
GU,Guam,168485
PR,Puerto Rico,3193694
VI,Virgin Islands,106235
AS,American Samoa,49437
MP,Northern Mariana Islands,51433